trip,trial,det,time,ID,activity,dist,app_type,intent,reaction
4,51,Control,12.8823,Scar Face,Feeding,0,V,H,N
4,52,Boat01 80-V,12.4271,Flat Top,Passing,3572.883,D,M,N
4,52,Boat01 80-V,17.5834,Unknown,Passing,3365.884,D,M,N
4,52,Boat01 80-V,18.5355,Clippy,Passing,1850.543,D,H,N
4,53,Control,4.6235,New Tagged,Passing,2978.428,D,M,N
4,53,Control,6.4056,New Tagged,Passing,1895.679,V,H,N
4,53,Control,8.345,New Tagged,Feeding,0,D,H,N
4,54,Control,3.1776,Clippy,Passing,2777.138,S,H,N
4,54,Control,3.3648,Clippy,Feeding,0,S,H,N
4,54,Control,3.5569,Clippy,Passing,858.767,D,H,N
4,54,Control,4.1892,Clippy,Passing,1564.575,V,H,N
4,54,Control,5.5547,Clippy,Passing,1641.986,D,H,N
4,54,Control,8.2638,Clippy,Feeding,0,D,H,N
4,55,Control,7.6615,Clippy,Passing,3665.035,D,M,N
4,55,Control,8.9526,Clippy,Feeding,0,D,H,N
4,56,Boat01 80-V,12.0039,Marlin,Passing,4254.847,D,M,N
4,56,Boat01 80-V,12.1307,Clippy,Passing,2162.853,D,M,N
4,56,Boat01 80-V,13.5168,Clippy,Passing,2887.694,D,M,N
4,56,Boat01 80-V,13.9487,Marlin,Passing,1952.084,D,M,N
4,56,Boat01 80-V,15.6851,Marlin,Passing,2392.046,D,M,N
4,56,Boat01 80-V,15.7972,Marlin,Passing,733.165,D,H,Y
4,57,Control,17.5069,Marlin,Passing,1573.379,D,H,Y
4,57,Control,17.8025,Marlin,Passing,895.849,D,H,N
4,57,Control,17.8025,Marlin,Feeding,0,D,H,N
4,58,Control,6.9322,Staple,Passing,3110.206,D,M,N
4,58,Control,7.4263,Scar Face,Passing,1889.714,D,M,N
4,58,Control,8.0475,Staple,Feeding,0,S,H,N
4,58,Control,8.5591,Scar Face,Passing,3373.011,D,M,N
4,58,Control,8.6881,Staple,Feeding,0,V,H,N
4,59,Boat01 80-V,12.7436,Staple,Passing,3857.673,D,M,N
4,59,Boat01 80-V,13.0489,Staple,Passing,2445.359,D,M,N
4,59,Boat01 80-V,13.1395,Staple,Passing,1242.465,D,M,Y
4,59,Boat01 80-V,13.6606,Staple,Passing,2143.696,D,H,N
4,59,Boat01 80-V,13.7918,Staple,Passing,2397.082,D,H,N
4,59,Boat01 80-V,14.3796,Staple,Passing,4654.251,S,M,N
4,59,Boat01 80-V,14.7589,Staple,Passing,3022.581,S,M,N
4,59,Boat01 80-V,14.8938,Staple,Passing,2808.185,S,M,N
4,59,Boat01 80-V,15.6579,Unknown,Passing,3483.971,D,M,N
